id,name,district,price_min,price_max,google_rating,num_google_reviews,opening_time,closing_time,location,latitude,longitude,tag_1,tag_2,tag_3,address,phone,description
RST_001,Tomyam Utama,Seri Iskandar,RM1.00,RM20.00,4.2,36,11:00:00,02:30:00,"4.3756189068866025, 100.97976356830337",4.375618907,100.9797636,Thai,Street-Side,Late-Night Eats,"143, Jalan Lestari 6, 31750 Bota, Perak",0164121528,Thai tomyam specialist with spicy soups and street-style dining.
RST_002,D'Asean Tomyam,Seri Iskandar,RM1.00,RM20.00,3.5,46,16:00:00,03:00:00,"4.362105721104784, 100.97766181596381",4.362105721,100.9776618,Thai,Popular,Casual,"51, Jln PP 5, Bandar Universiti, 32610 Seri Iskandar, Perak",0134485911,"Local Thai seafood spot, known for its spicy tomyam and noodles."
RST_003,Nasi Ayam Berempah,Seri Iskandar,RM1.00,RM20.00,5.0,1,09:00:00,17:00:00,"4.3635429156309, 100.98181152861481",4.363542916,100.9818115,Malay,Rice,Casual,"Susur U 1, Bandar Universiti, 32610 Seri Iskandar, Perak",0134559183,Stall serving specialized fried chicken with rice and other additions.
RST_004,Rahman's Corner,Seri Iskandar,RM1.00,RM20.00,4.0,746,00:00:00,00:00:00,"4.360538186532724, 100.96277873228165",4.360538187,100.9627787,Mamak Stall,Malay,Indian,"12A, Persiaran Dataran 1, 32600 Bota, Perak",053712486,"24-hour casual Malaysian eatery offering roti, drinks and more."
RST_005,Bakso kita,Seri Iskandar,RM1.00,RM20.00,4.5,100,11:30:00,18:30:00,"4.358315890009298, 100.93213836333591",4.35831589,100.9321384,Malay,Indonesian,Casual,"Kg. Nasaruddin, 32600 Bota, Perak",Not Available,Indonesian bakso (meatball soup) specialist with authentic flavors.
RST_006,Subway Seri Iskandar,Seri Iskandar,RM20.00,RM40.00,4.4,481,08:00:00,22:00:00,"4.364259961722911, 100.97730052267906",4.364259962,100.9773005,Fast Food,Popular,Takeaway,"26, Jalan PP 1, Bandar Universiti, 31750 Seri Iskander, Tronoh, Perak",053650405,International fast-food chain with healthy sub sandwiches.
RST_007,Restoran Bunda Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,4.3,201,07:00:00,17:00:00,"4.354027255593475, 100.96687506725924",4.354027256,100.9668751,Malay,Family-Friendly,Casual,"368, Persiaran SIBC 14, 32610 Seri Iskandar, Perak",0165000774,Malay family restaurant with classic rice and noodle dishes with various side dishes.
RST_008,Rizqullah,Seri Iskandar,RM1.00,RM20.00,4.3,782,10:00:00,17:00:00,"4.355952065276987, 100.9668815118726",4.355952065,100.9668815,Malay,Street-Side,Casual,"Persiaran SIBC 1, Bandar Seri Iskandar, 32600 Bota, Perak",0163606406,Street-side Malay spot famous for their rice and side dishes.
RST_009,Leman Cendol SI,Seri Iskandar,RM1.00,RM20.00,4.3,38,13:30:00,19:00:00,"4.363165179517253, 100.97658117169618",4.36316518,100.9765812,Dessert,Street-Side,Popular,"Dataran Niaga, 32610 Seri Iskandar, Perak",0135842495,Dessert stall serving chilled cendol and other sweets.
RST_010,Pasar Malam SIBC,Seri Iskandar,RM1.00,RM20.00,4.0,1,18:00:00,22:00:00,"4.3570529194635945, 100.96628966062045",4.357052919,100.9662897,Street-Side,Popular,Late-Night Eats,"72, Persiaran SIBC 4, Bandar Seri Iskandar, 32600 Bota, Perak",Not Available,Night market with varied food stalls and local snacks.
RST_011,Ayam Penyet Tronoh Indah Since 2016,Seri Iskandar,RM1.00,RM20.00,4.8,82,09:30:00,19:00:00,"4.419801283434196, 100.9898205731542",4.419801283,100.9898206,Indonesian,Rice,Casual,"Kedai Makan, 22A, Laluan Desa Tronoh Indah 1, Desan, 31750 Tronoh, Perak",0138003924,Famous for authentic Indonesian ayam penyet since 2016.
RST_012,Mcdonald's Seri Iskandar DT,Seri Iskandar,RM1.00,RM20.00,4.1,2621,09:00:00,00:00:00,"4.357617464285313, 100.96966064732126",4.357617464,100.9696606,Fast Food,Drive-Thru,24-Hour,"Plot 531, Bandar Seri Iskandar, Mukim, 32600, Perak",053713722,Global fast-food chain known for burgers and drive-thru service.
RST_013,Suito Coffee & Dessert,Ipoh,RM20.00,RM40.00,4.7,317,19:00:00,03:00:00,"4.575851939731319, 101.10918818518003",4.57585194,101.1091882,Cakery,Study-Friendly,Dessert,"31350, Jln Sultan Nazrin Shah, Medan Gopeng, 30450 Ipoh, Perak",0174904254,"Trendy Ipoh Café serving cakes and desserts, great for studying."
RST_014,Ayam Gepuk Pak Gembus Seri Iskandar,Seri Iskandar,RM1.00,RM20.00,1.5,156,10:00:00,23:00:00,"4.35582983949352, 100.9696152989971",4.355829839,100.9696153,Indonesian,Rice,Popular,"No 453, 453A & 453B, Persiaran Iskandar 18, Business Centre, 32610 Seri Iskandar, Perak",0198311889,Indonesian restaurant serving spicy fried chicken with rice.
