user_id,simulated_day,simulated_meal_time,ground_truth_id,ground_truth_name,recommendation_1,recommendation_2,recommendation_3,full_recommendation_ids,hit
USR_001,Tuesday,Late Dinner,RST_001,Tomyam Utama,Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_038', 'RST_031', 'RST_032', 'RST_004', 'RST_043', 'RST_002']",1
USR_001,Wednesday,Breakfast,RST_068,Kin Loong Valley Chang Jiang White Coffee,"Otai Burger, Bandar Universiti",Harraz Café Village 6 (V6),Village 2 Café UTP,"['RST_019', 'RST_020', 'RST_063', 'RST_058', 'RST_017', 'RST_062', 'RST_031', 'RST_006', 'RST_004', 'RST_025']",0
USR_001,Wednesday,Dinner,RST_045,Syrianno Restaurant (Makanan Arab),Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_002', 'RST_046', 'RST_044', 'RST_020', 'RST_066', 'RST_010']",0
USR_001,Wednesday,Late Dinner,RST_038,Kentang&Co,Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_031', 'RST_032', 'RST_004', 'RST_043', 'RST_002', 'RST_033']",0
USR_001,Thursday,Midnight Snack,RST_031,Restoran Al Bayan,Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_002', 'RST_031', 'RST_004', 'RST_033', 'RST_049', 'RST_047']",1
USR_001,Thursday,Lunch,RST_069,Ayam Gepuk Tok Pa,Rizqullah,Nasi Ayam Plang Tu,Nasi Kerabu AB,"['RST_008', 'RST_042', 'RST_058', 'RST_001', 'RST_031', 'RST_004', 'RST_025', 'RST_009', 'RST_033', 'RST_048']",0
USR_001,Thursday,Late Dinner,RST_012,Mcdonald's Seri Iskandar DT,Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_002', 'RST_046', 'RST_044', 'RST_031', 'RST_032', 'RST_004']",0
USR_001,Friday,Lunch,RST_008,Rizqullah,Rizqullah,Nasi Ayam Plang Tu,Nasi Kerabu AB,"['RST_008', 'RST_042', 'RST_058', 'RST_001', 'RST_031', 'RST_004', 'RST_025', 'RST_009', 'RST_033', 'RST_048']",1
USR_001,Friday,Linner,RST_066,Pasta Medina Seri Iskandar,Tomyam Utama,Nik Tomyam,Leman Cendol SI,"['RST_001', 'RST_015', 'RST_009', 'RST_027', 'RST_029', 'RST_066', 'RST_010', 'RST_020', 'RST_063', 'RST_017']",1
USR_001,Friday,Midnight Snack,RST_024,Shawarma Zinger UTP,Tomyam Utama,Restoran Al Bayan,Nik Tomyam,"['RST_001', 'RST_031', 'RST_015', 'RST_004', 'RST_033', 'RST_049', 'RST_027', 'RST_029', 'RST_002', 'RST_047']",0
USR_001,Saturday,Lunch,RST_006,Subway Seri Iskandar,Tomyam Utama,Leman Cendol SI,Rizqullah,"['RST_001', 'RST_009', 'RST_008', 'RST_014', 'RST_061', 'RST_042', 'RST_029', 'RST_069', 'RST_020', 'RST_058']",0
USR_001,Saturday,Midnight Snack,RST_013,Suito Coffee & Dessert,Tomyam Utama,Restoran Al Bayan,Nik Tomyam,"['RST_001', 'RST_031', 'RST_015', 'RST_004', 'RST_033', 'RST_049', 'RST_027', 'RST_029', 'RST_002', 'RST_047']",0
USR_001,Sunday,Lunch,RST_009,Leman Cendol SI,Rizqullah,Nasi Ayam Plang Tu,Nasi Kerabu AB,"['RST_008', 'RST_042', 'RST_058', 'RST_001', 'RST_031', 'RST_004', 'RST_025', 'RST_009', 'RST_033', 'RST_048']",1
USR_001,Sunday,Dinner,RST_044,Krua Madam Tomyam,Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_020', 'RST_066', 'RST_010', 'RST_063', 'RST_017', 'RST_062']",0
USR_001,Sunday,Lunch,RST_070,Wan Corner Chicken Chop,Rizqullah,Nasi Ayam Plang Tu,Nasi Kerabu AB,"['RST_008', 'RST_042', 'RST_058', 'RST_001', 'RST_031', 'RST_004', 'RST_025', 'RST_009', 'RST_033', 'RST_048']",0
USR_001,Sunday,Late Dinner,RST_031,Restoran Al Bayan,Tomyam Utama,Nik Tomyam,Arif Tomyam,"['RST_001', 'RST_015', 'RST_027', 'RST_029', 'RST_031', 'RST_032', 'RST_004', 'RST_043', 'RST_002', 'RST_033']",1
USR_002,Tuesday,Dinner,RST_004,Rahman's Corner,Village 2 Café UTP,Village 3 (V3) Café UTP,Village 5 Café UTP,"['RST_063', 'RST_017', 'RST_062', 'RST_020', 'RST_001', 'RST_031', 'RST_004', 'RST_043', 'RST_067', 'RST_015']",1
USR_002,Wednesday,Lunch,RST_025,Rayyan Nasi Kukus,Restoran Al Bayan,Rahman's Corner,Rayyan Nasi Kukus,"['RST_031', 'RST_004', 'RST_025', 'RST_008', 'RST_049', 'RST_048', 'RST_016', 'RST_007', 'RST_033', 'RST_042']",1
USR_002,Wednesday,Dinner,RST_004,Rahman's Corner,Restoran Al Bayan,Rahman's Corner,Kari Kepala Ikan Salim,"['RST_031', 'RST_004', 'RST_049', 'RST_033', 'RST_063', 'RST_017', 'RST_062', 'RST_020', 'RST_043', 'RST_067']",1
USR_002,Thursday,Lunch,RST_003,Nasi Ayam Berempah,Village 2 Café UTP,Village 3 (V3) Café UTP,Village 5 Café UTP,"['RST_063', 'RST_017', 'RST_062', 'RST_020', 'RST_001', 'RST_031', 'RST_004', 'RST_025', 'RST_067', 'RST_008']",0
USR_002,Thursday,Dinner,RST_029,Bischroon B Tomyam,Marrybrown Seri Iskandar,A&W Seri Iskandar,Village 2 Café UTP,"['RST_067', 'RST_037', 'RST_063', 'RST_017', 'RST_062', 'RST_020', 'RST_083', 'RST_054', 'RST_031', 'RST_006']",0
USR_002,Friday,Lunch,RST_007,Restoran Bunda Seri Iskandar,Restoran Al Bayan,Rahman's Corner,Rayyan Nasi Kukus,"['RST_031', 'RST_004', 'RST_025', 'RST_008', 'RST_049', 'RST_048', 'RST_016', 'RST_007', 'RST_033', 'RST_042']",1
